model,slug,fold,macro_f1,accuracy,fatal_precision,fatal_recall,fatal_f1,serious_precision,serious_recall,serious_f1,slight_precision,slight_recall,slight_f1
XGBoost baseline (downsampled),baseline_xgb,1,0.3380495968516293,0.5990691489361702,0.110759493670886,0.0112540192926045,0.0204319906596614,0.1767776814823985,0.5237192810857073,0.2643319962974391,0.8855718270571827,0.6200308572656166,0.7293848035977876
XGBoost baseline (downsampled),baseline_xgb,2,0.3339142248438684,0.5874210438829788,0.0625,0.0118971061093247,0.0199891950297136,0.1745360207543404,0.5346455970901978,0.2631622497874933,0.8855737048373716,0.604590528921504,0.7185912297143985
XGBoost baseline (downsampled),baseline_xgb,3,0.3358531379069787,0.5909449800531915,0.0763209393346379,0.012540192926045,0.0215410107705053,0.175526831967007,0.5333618608063087,0.264129809584355,0.8863083985957332,0.6089261912085658,0.7218885933660756
XGBoost baseline (downsampled),baseline_xgb,4,0.3421383301171033,0.6038189827127659,0.1133501259445843,0.0144694533762057,0.0256629597946963,0.1792546363456099,0.524987009811413,0.2672558660608701,0.8868470614302332,0.6253606948777666,0.7334961644957436
XGBoost baseline (downsampled),baseline_xgb,5,0.3365760218197832,0.5877576462765958,0.0982658959537572,0.0163934426229508,0.028099173553719,0.1741885903628887,0.5334698618413009,0.2626248946671481,0.8857173485795962,0.6051080741945092,0.7190039972384825
XGBoost (class-weighted),weighted_xgb,1,0.3188552711832906,0.5402634640957447,0.033446487343408,0.6241157556270096,0.063490505863304,0.1567950970728153,0.2236520357011859,0.184349096772568,0.8882603482393097,0.5895641899479528,0.7087262109139998
XGBoost (class-weighted),weighted_xgb,2,0.3181032386358602,0.5384765625,0.0329515632875093,0.6096463022508039,0.0625237019571633,0.1555504414410644,0.2272518873979888,0.1846860833385083,0.8887312180808999,0.587111169701142,0.7070999306119089
XGBoost (class-weighted),weighted_xgb,3,0.3191366482396859,0.5412026263297872,0.0339262696571281,0.6347266881028939,0.0644098213557386,0.1564669998053086,0.2210777271754745,0.1832438184029185,0.8884223507648942,0.5909195217100477,0.7097563049604007
XGBoost (class-weighted),weighted_xgb,4,0.3220369073937095,0.5449177194148936,0.0345066279029522,0.6411575562700965,0.0654887020493956,0.1608074048322614,0.2262126723110309,0.1879833885777422,0.889673317254988,0.5943665685283649,0.7126386315539905
XGBoost (class-weighted),weighted_xgb,5,0.3205040815263208,0.5408743351063829,0.0336608568849385,0.6232722597235616,0.0638721897389442,0.1601041534357932,0.2311712923340261,0.1891837806738875,0.8884814209340344,0.5890934657468032,0.7084562741661309
"XGBoost (class-weighted, tuned)",tuned_xgb,1,0.3241033790986301,0.544161402925532,0.0351945586839607,0.572347266881029,0.0663115151063592,0.1586503948312993,0.263449076904267,0.1980400491710993,0.8880997811945158,0.5885730467643814,0.7079585730184319
"XGBoost (class-weighted, tuned)",tuned_xgb,2,0.3231241289079594,0.5443442486702128,0.0346913431879181,0.5569131832797428,0.0653141262538653,0.1563464946739508,0.2615459852675978,0.1957048760406184,0.8876256590897391,0.5893278258704282,0.7083533844293947
"XGBoost (class-weighted, tuned)",tuned_xgb,3,0.3251940905878181,0.5483086768617021,0.0356429771671444,0.5797427652733119,0.0671570909768134,0.1587918829636621,0.2571140385732188,0.1963310460719787,0.8880215932302306,0.5943470385180628,0.7120941347146622
"XGBoost (class-weighted, tuned)",tuned_xgb,4,0.3264082921051279,0.5479305186170212,0.0354737135796564,0.572347266881029,0.0668067857679027,0.1616560155598777,0.2667420607023871,0.2013102350580148,0.8891388292532808,0.5924770400316386,0.7111078554894664
"XGBoost (class-weighted, tuned)",tuned_xgb,5,0.3261247311485242,0.547514960106383,0.0352969570201725,0.5641272902603665,0.0664370078740157,0.1614301988020431,0.2685536129111138,0.2016478850611645,0.8880528671800019,0.5918227846865189,0.7102893005103924
Ordinal cumulative XGBoost,ordinal_xgb,1,0.2996657236712375,0.656075465425532,0.0324642419288925,0.6385852090032155,0.0617873531928132,0.1779437609841827,0.0123792639687003,0.0231481481481481,0.8775206135821072,0.7591619713496147,0.8140616696727513
Ordinal cumulative XGBoost,ordinal_xgb,2,0.2994854389827767,0.6581823470744681,0.031870463058106,0.6183279742765273,0.0606165678981212,0.1614238410596026,0.0119204083503988,0.0222013491589104,0.8773709004643423,0.7620219419665744,0.8156383998912984
Ordinal cumulative XGBoost,ordinal_xgb,3,0.3001236265583093,0.6561627327127659,0.0324333196553139,0.6353697749196141,0.0617162489263683,0.1712816455696202,0.0132347097839043,0.0245708611150517,0.8775474498693471,0.7591803254676217,0.8140837696335078
Ordinal cumulative XGBoost,ordinal_xgb,4,0.299661633311224,0.6577667885638298,0.032327337000512,0.6292604501607717,0.0614954357628796,0.1676672384219554,0.0119509735000152,0.022311620873634,0.8771790674519466,0.7613628041188791,0.8151778432971583
Ordinal cumulative XGBoost,ordinal_xgb,5,0.2995553592909249,0.6553731715425531,0.0322765626280003,0.6332369013179042,0.0614223801951797,0.1723856209150326,0.012898887394547,0.024001820043226,0.8767195199738086,0.7583356525220567,0.8132418776343692
XGBoost (interpolated class weight),interpolated_weight_xgb,1,0.341836873185381,0.6536414115347311,0.0376853744529653,0.5298996913580247,0.070366433136519,0.1756698357821953,0.1341904010857006,0.1521537965668181,0.8798277270157265,0.7384958811328936,0.8029903898528058
XGBoost (interpolated class weight),interpolated_weight_xgb,2,0.3420844210237847,0.6538857597359045,0.0372235084098072,0.5148533950617284,0.0694274640376661,0.175398313027179,0.1372872652582159,0.1540202452473047,0.8793519019132497,0.7385185510685357,0.8028055537863831
XGBoost (interpolated class weight),interpolated_weight_xgb,3,0.3432344197798021,0.656570240309575,0.0378044195663979,0.5238278989002508,0.0705194805194805,0.1798006806028196,0.1356550762910798,0.1546389597357528,0.8788895869271699,0.7417966632977399,0.8045448190841732
XGBoost (joint hyperparameter and class-weight tuned),xgb_joint_tuned,1,0.3373261607238111,0.7752742686170213,0.04733627417712928,0.35884244372990354,0.08363936146293936,0.2194732641660016,0.02521701919550067,0.045236463331048665,0.8655258901572865,0.9014081068676946,0.8831026573774452
XGBoost (joint hyperparameter and class-weight tuned),xgb_joint_tuned,2,0.337838206196593,0.7756358045212766,0.046361825655803705,0.3517684887459807,0.0819260867937245,0.23540439207284414,0.02686676651282208,0.048229129516337,0.8657675016056519,0.9016810456367516,0.8833594022797174
XGBoost (joint hyperparameter and class-weight tuned),xgb_joint_tuned,3,0.33814533192381707,0.7747963763297873,0.04709385221840141,0.3610932475884244,0.08332096750259682,0.2273079906904577,0.02686676651282208,0.04805379400830964,0.8662358460880959,0.9005531875418065,0.8830612342605448
XGBoost (joint hyperparameter and class-weight tuned),xgb_joint_tuned,4,0.3381461446370386,0.7774310172872341,0.04852076087423247,0.3633440514469453,0.0856093033827039,0.22446123705569548,0.024513249992358713,0.04419950399559107,0.8660807005398123,0.9039904693549726,0.8846296265328208
XGBoost (joint hyperparameter and class-weight tuned),xgb_joint_tuned,5,0.33738909881181717,0.7757106050531914,0.04686047494295614,0.35647701703632273,0.08283228143556037,0.22713622713622714,0.02543098178261401,0.04574067456499629,0.8659937837242336,0.9019251707655276,0.8835943404348949
